tile_id,date,lat,lon,scene,path
S2_1-12-19_48MYU_0,2019-12-01,-5.970694,106.87922,S2_1-12-19_48MYU,raw/marida/patches/S2_1-12-19_48MYU/S2_1-12-19_48MYU_0.tif
S2_1-12-19_48MYU_1,2019-12-01,-5.970615,106.902338,S2_1-12-19_48MYU,raw/marida/patches/S2_1-12-19_48MYU/S2_1-12-19_48MYU_1.tif
S2_1-12-19_48MYU_2,2019-12-01,-5.993761,106.902418,S2_1-12-19_48MYU,raw/marida/patches/S2_1-12-19_48MYU/S2_1-12-19_48MYU_2.tif
S2_1-12-19_48MYU_3,2019-12-01,-6.016906,106.902498,S2_1-12-19_48MYU,raw/marida/patches/S2_1-12-19_48MYU/S2_1-12-19_48MYU_3.tif
S2_11-1-19_19QDA_0,2019-01-11,18.427634,-69.910726,S2_11-1-19_19QDA,raw/marida/patches/S2_11-1-19_19QDA/S2_11-1-19_19QDA_0.tif
S2_11-1-19_19QDA_1,2019-01-11,18.474019,-69.886725,S2_11-1-19_19QDA,raw/marida/patches/S2_11-1-19_19QDA/S2_11-1-19_19QDA_1.tif
S2_11-1-19_19QDA_2,2019-01-11,18.427749,-69.886487,S2_11-1-19_19QDA,raw/marida/patches/S2_11-1-19_19QDA/S2_11-1-19_19QDA_2.tif
S2_11-1-19_19QDA_3,2019-01-11,18.42786,-69.862249,S2_11-1-19_19QDA,raw/marida/patches/S2_11-1-19_19QDA/S2_11-1-19_19QDA_3.tif
S2_11-1-19_19QDA_4,2019-01-11,18.427969,-69.83801,S2_11-1-19_19QDA,raw/marida/patches/S2_11-1-19_19QDA/S2_11-1-19_19QDA_4.tif
S2_11-6-18_16PCC_0,2018-06-11,16.005951,-88.632512,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_0.tif
S2_11-6-18_16PCC_1,2018-06-11,15.751474,-88.630463,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_1.tif
S2_11-6-18_16PCC_10,2018-06-11,15.937751,-88.464573,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_10.tif
S2_11-6-18_16PCC_11,2018-06-11,16.007321,-88.441158,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_11.tif
S2_11-6-18_16PCC_12,2018-06-11,15.9845,-88.393156,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_12.tif
S2_11-6-18_16PCC_13,2018-06-11,15.961363,-88.392996,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_13.tif
S2_11-6-18_16PCC_14,2018-06-11,15.984653,-88.369238,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_14.tif
S2_11-6-18_16PCC_15,2018-06-11,15.961516,-88.369081,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_15.tif
S2_11-6-18_16PCC_16,2018-06-11,15.984804,-88.345319,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_16.tif
S2_11-6-18_16PCC_17,2018-06-11,15.961667,-88.345165,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_17.tif
S2_11-6-18_16PCC_18,2018-06-11,15.822844,-88.344243,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_18.tif
S2_11-6-18_16PCC_19,2018-06-11,15.82299,-88.320343,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_19.tif
S2_11-6-18_16PCC_2,2018-06-11,15.982998,-88.608408,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_2.tif
S2_11-6-18_16PCC_20,2018-06-11,15.799853,-88.320193,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_20.tif
S2_11-6-18_16PCC_21,2018-06-11,15.961961,-88.297332,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_21.tif
S2_11-6-18_16PCC_22,2018-06-11,15.86941,-88.296739,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_22.tif
S2_11-6-18_16PCC_23,2018-06-11,15.799996,-88.296296,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_23.tif
S2_11-6-18_16PCC_24,2018-06-11,16.008379,-88.273709,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_24.tif
S2_11-6-18_16PCC_25,2018-06-11,15.938966,-88.27327,S2_11-6-18_16PCC,raw/marida/patches/S2_11-6-18_16PCC/S2_11-6-18_16PCC_25.tif
